mc 	mn 	mc_onset	mn_onset	timesig	staff	voice	label    	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1  	1  	2       	2       	3/1    	4    	1    	a.i      	a        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
3  	3  	0       	0       	3/1    	4    	1    	iv       	a        	i       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0  	           	-1  	-1
3  	3  	1       	1       	3/1    	4    	1    	v        	a        	i       	     	v        	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2   	           	1   	1
4  	4  	0       	0       	3/1    	4    	1    	i        	a        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
5  	5  	0       	0       	3/1    	4    	1    	VII      	a        	i       	     	VII      	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1  	           	-2  	-2
5  	5  	1       	1       	3/1    	4    	1    	i        	a        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1   	           	0   	0
6  	6  	0       	0       	3/1    	4    	1    	III.IV   	a        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
7  	7  	0       	0       	3/1    	4    	1    	I6       	a        	III     	     	I6       	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0    	           	0   	4
7  	7  	1       	1       	3/1    	4    	1    	IV       	a        	III     	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0   	           	-1  	-1
8  	8  	0       	0       	3/1    	4    	1    	ii       	a        	III     	     	ii       	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3   	           	2   	2
9  	9  	0       	0       	3/1    	4    	1    	vi       	a        	III     	     	vi       	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4    	           	3   	3
9  	9  	1       	1       	3/1    	4    	1    	ii6      	a        	III     	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2   	           	2   	-1
10 	10 	0       	0       	3/1    	4    	1    	V        	a        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2    	           	1   	1
11 	11 	0       	0       	3/1    	4    	1    	I        	a        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1    	           	0   	0
