mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord    	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	d.i      	         	d        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
2 	2 	0       	0       	4/4    	5    	1    	I        	         	d        	i       	     	I        	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
2 	2 	1/2     	1/2     	4/4    	5    	1    	IV       	         	d        	i       	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0     	           	-1  	-1
3 	3 	0       	0       	4/4    	5    	1    	III.V    	         	d        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
3 	3 	1/2     	1/2     	4/4    	5    	1    	I        	         	d        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
4 	4 	0       	0       	4/4    	5    	1    	V(64)    	         	d        	III     	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	0                	1, 0, 4      	           	1   	1
4 	4 	1/4     	1/4     	4/4    	5    	1    	V        	         	d        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
4 	4 	1/2     	1/2     	4/4    	5    	1    	I        	         	d        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
4 	4 	3/4     	3/4     	4/4    	5    	1    	vi6      	         	d        	III     	     	vi6      	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3      	           	3   	0
5 	5 	0       	0       	4/4    	5    	1    	V\\      	         	d        	III     	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	0                	1, 5, 2      	           	1   	1
5 	5 	1/2     	1/2     	4/4    	5    	1    	v.#vio6  	         	d        	v       	     	#vio6    	#vi    	o   	6      	       	            	       	         	o         	1                 	1                	0, -3, 3     	           	3   	0
6 	6 	0       	0       	4/4    	5    	1    	V        	         	d        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
7 	7 	0       	0       	4/4    	5    	1    	I        	         	d        	v       	     	I        	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
8 	8 	0       	0       	4/4    	5    	1    	III.VI   	         	d        	III     	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	0                	3, 7, 4      	           	3   	3
8 	8 	3/4     	3/4     	4/4    	5    	1    	V7/ii    	         	d        	III     	     	V7/ii    	V      	    	7      	       	ii          	       	         	Mm7       	1                 	0                	3, 7, 4, 1   	           	3   	3
9 	9 	0       	0       	4/4    	5    	1    	II       	         	d        	III     	     	II       	II     	    	       	       	            	       	         	M         	1                 	0                	2, 6, 3      	           	2   	2
9 	9 	3/4     	3/4     	4/4    	5    	1    	V7/V     	         	d        	III     	     	V7/V     	V      	    	7      	       	V           	       	         	Mm7       	1                 	0                	2, 6, 3, 0   	           	2   	2
10	10	0       	0       	4/4    	5    	1    	V        	         	d        	III     	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
11	11	0       	0       	4/4    	5    	1    	I        	         	d        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
11	11	1/2     	1/2     	4/4    	5    	1    	V\\      	         	d        	III     	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	0                	1, 5, 2      	           	1   	1
12	12	1/2     	1/2     	4/4    	5    	1    	I        	         	d        	III     	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
13	13	1/2     	1/2     	4/4    	5    	1    	v.i      	         	d        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
14	14	0       	0       	4/4    	5    	1    	V\\      	         	d        	v       	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
15	15	0       	0       	4/4    	5    	1    	i.V6     	         	d        	i       	     	V6       	V      	    	6      	       	            	       	         	M         	1                 	1                	5, 2, 1      	           	1   	5
15	15	1/2     	1/2     	4/4    	5    	1    	I        	         	d        	i       	     	I        	I      	    	       	       	            	       	         	M         	1                 	1                	0, 4, 1      	           	0   	0
16	16	0       	0       	4/4    	5    	1    	IV       	         	d        	i       	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0     	           	-1  	-1
16	16	1/2     	1/2     	4/4    	5    	1    	VII      	         	d        	i       	     	VII      	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
17	17	1/4     	1/4     	4/4    	5    	1    	V7/III   	         	d        	i       	     	V7/III   	V      	    	7      	       	III         	       	         	Mm7       	1                 	1                	-2, 2, -1, -4	           	-2  	-2
17	17	1/2     	1/2     	4/4    	5    	1    	III      	         	d        	i       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
18	18	0       	0       	4/4    	5    	1    	iv(94)   	         	d        	i       	     	iv(94)   	iv     	    	       	94     	            	       	         	m         	1                 	1                	-1, -2, 0    	1          	-1  	-1
18	18	1/4     	1/4     	4/4    	5    	1    	iv       	         	d        	i       	     	iv       	iv     	    	       	       	            	       	         	m         	1                 	1                	-1, -4, 0    	           	-1  	-1
18	18	1/2     	1/2     	4/4    	5    	1    	V[V(#64) 	         	d        	i       	V    	V(#64)   	V      	    	       	#64    	            	       	         	M         	1                 	1                	1, 0, 2      	4          	1   	1
19	19	0       	0       	4/4    	5    	1    	V        	         	d        	i       	V    	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
19	19	3/4     	3/4     	4/4    	5    	1    	i        	         	d        	i       	V    	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
20	20	0       	0       	4/4    	5    	1    	V(4)     	         	d        	i       	V    	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
20	20	1/4     	1/4     	4/4    	5    	1    	V        	         	d        	i       	V    	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
21	21	0       	0       	4/4    	5    	1    	V(4)     	         	d        	i       	V    	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
21	21	1/2     	1/2     	4/4    	5    	1    	V        	         	d        	i       	V    	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
21	21	3/4     	3/4     	4/4    	5    	1    	V(+#6)   	         	d        	i       	V    	V(+#6)   	V      	    	       	+#6    	            	       	         	M         	1                 	1                	1, 5, 2      	4          	1   	1
22	22	0       	0       	4/4    	5    	1    	V(#64)   	         	d        	i       	V    	V(#64)   	V      	    	       	#64    	            	       	         	M         	1                 	1                	1, 0, 2      	4          	1   	1
22	22	1/4     	1/4     	4/4    	5    	1    	V(4)     	         	d        	i       	V    	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
22	22	1/2     	1/2     	4/4    	5    	1    	V(64)    	         	d        	i       	V    	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3     	           	1   	1
22	22	3/4     	3/4     	4/4    	5    	1    	V]       	         	d        	i       	V    	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
23	23	0       	0       	4/4    	5    	1    	i\\      	         	d        	i       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1     	           	0   	0
24	24	0       	0       	4/4    	5    	1    	III      	i6       	d        	i       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
25	25	0       	0       	4/4    	5    	1    	VII      	         	d        	i       	     	VII      	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
25	25	3/4     	3/4     	4/4    	5    	1    	VI       	iv6      	d        	i       	     	VI       	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
26	26	0       	0       	4/4    	5    	1    	V\\      	         	d        	i       	     	V        	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
27	27	0       	0       	4/4    	5    	1    	III      	         	d        	i       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
28	28	0       	0       	4/4    	5    	1    	VII      	         	d        	i       	     	VII      	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
28	28	3/4     	3/4     	4/4    	5    	1    	i        	         	d        	i       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
29	29	0       	0       	4/4    	5    	1    	v        	         	d        	i       	     	v        	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
30	30	0       	0       	4/4    	5    	1    	III      	         	d        	i       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
30	30	1/4     	1/4     	4/4    	5    	1    	i6       	         	d        	i       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0     	           	0   	-3
30	30	1/2     	1/2     	4/4    	5    	1    	IV       	         	d        	i       	     	IV       	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0     	           	-1  	-1
30	30	3/4     	3/4     	4/4    	5    	1    	ii6      	         	d        	i       	     	ii6      	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2     	           	2   	-1
31	31	0       	0       	4/4    	5    	1    	V        	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
31	31	1/4     	1/4     	4/4    	5    	1    	V(4)     	         	d        	i       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
31	31	3/4     	3/4     	4/4    	5    	1    	V        	         	d        	i       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
32	32	0       	0       	4/4    	5    	1    	i\\      	         	d        	i       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1     	           	0   	0
33	33	0       	0       	4/4    	5    	1    	IV.V     	         	d        	IV      	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
34	34	1/4     	1/4     	4/4    	5    	1    	V(4)     	         	d        	IV      	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2      	           	1   	1
34	34	1/2     	1/2     	4/4    	5    	1    	V(b64)   	         	d        	IV      	     	V(b64)   	V      	    	       	b64    	            	       	         	M         	1                 	0                	1, 0, -3     	           	1   	1
34	34	5/8     	5/8     	4/4    	5    	1    	V(4)     	         	d        	IV      	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2      	           	1   	1
34	34	3/4     	3/4     	4/4    	5    	1    	V        	         	d        	IV      	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
35	35	0       	0       	4/4    	5    	1    	I        	         	d        	IV      	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
35	35	1/2     	1/2     	4/4    	5    	1    	v.V      	         	d        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
36	36	1/2     	1/2     	4/4    	5    	1    	iio6     	         	d        	v       	     	iio6     	ii     	o   	6      	       	            	       	         	o         	1                 	1                	-1, -4, 2    	           	2   	-1
37	37	0       	0       	4/4    	5    	1    	iv6      	         	d        	v       	     	iv6      	iv     	    	6      	       	            	       	         	m         	1                 	1                	-4, 0, -1    	           	-1  	-4
37	37	1/2     	1/2     	4/4    	5    	1    	V7       	         	d        	v       	     	V7       	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1  	           	1   	1
37	37	3/4     	3/4     	4/4    	5    	1    	V(64)    	         	d        	v       	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3     	           	1   	1
38	38	0       	0       	4/4    	5    	1    	V(4)     	         	d        	v       	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
38	38	1/4     	1/4     	4/4    	5    	1    	V        	         	d        	v       	     	V        	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
38	38	1/2     	1/2     	4/4    	5    	1    	i\\      	         	d        	v       	     	i        	i      	    	       	       	            	       	\\       	m         	1                 	1                	0, -3, 1     	           	0   	0
39	39	0       	0       	4/4    	5    	1    	i.v      	         	d        	i       	     	v        	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
40	40	0       	0       	4/4    	5    	1    	V(64)    	         	d        	i       	     	V(64)    	V      	    	       	64     	            	       	         	M         	1                 	1                	1, 0, -3     	           	1   	1
40	40	3/4     	3/4     	4/4    	5    	1    	V7       	         	d        	i       	     	V7       	V      	    	7      	       	            	       	         	Mm7       	1                 	1                	1, 5, 2, -1  	           	1   	1
41	41	0       	0       	4/4    	5    	1    	I\\      	         	d        	i       	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
41	41	3/4     	3/4     	4/4    	5    	1    	IV.V     	         	d        	IV      	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
42	42	0       	0       	4/4    	5    	1    	I        	         	d        	IV      	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
42	42	1/2     	1/2     	4/4    	5    	1    	V7       	         	d        	IV      	     	V7       	V      	    	7      	       	            	       	         	Mm7       	1                 	0                	1, 5, 2, -1  	           	1   	1
43	43	0       	0       	4/4    	5    	1    	I        	         	d        	IV      	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
43	43	1/2     	1/2     	4/4    	5    	1    	V7       	         	d        	IV      	     	V7       	V      	    	7      	       	            	       	         	Mm7       	1                 	0                	1, 5, 2, -1  	           	1   	1
44	44	0       	0       	4/4    	5    	1    	I        	         	d        	IV      	     	I        	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
44	44	1/4     	1/4     	4/4    	5    	1    	vi6      	         	d        	IV      	     	vi6      	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3      	           	3   	0
44	44	1/2     	1/2     	4/4    	5    	1    	V        	         	d        	IV      	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
44	44	5/8     	5/8     	4/4    	5    	1    	V(4)     	         	d        	IV      	     	V(4)     	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2      	           	1   	1
44	44	7/8     	7/8     	4/4    	5    	1    	V        	         	d        	IV      	     	V        	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
45	45	0       	0       	4/4    	5    	1    	I\\      	         	d        	IV      	     	I        	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
46	46	0       	0       	4/4    	5    	1    	v.III    	i6       	d        	v       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
47	47	0       	0       	4/4    	5    	1    	VII      	         	d        	v       	     	VII      	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
47	47	3/4     	3/4     	4/4    	5    	1    	i        	         	d        	v       	     	i        	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
48	48	0       	0       	4/4    	5    	1    	v        	         	d        	v       	     	v        	v      	    	       	       	            	       	         	m         	1                 	1                	1, -2, 2     	           	1   	1
49	49	0       	0       	4/4    	5    	1    	III      	         	d        	v       	     	III      	III    	    	       	       	            	       	         	M         	1                 	1                	-3, 1, -2    	           	-3  	-3
49	49	1/4     	1/4     	4/4    	5    	1    	i6       	         	d        	v       	     	i6       	i      	    	6      	       	            	       	         	m         	1                 	1                	-3, 1, 0     	           	0   	-3
